feature	X3000190	X3007127	X3003578	X3000516	X3002970	X3002966	X3000375	X3002922	X3002705	X3000005	X3003070	X3000300	X3003922	X3003923	X3002804	X3000196	X3000823	X3002647	X3002930	X3005059	X3003209	X3007180	X3002459	X3003551	X3000518	X3004580	X3004583	X3001855	X3004122	X3000191	X3000567	X3005053	X3003949	X3004588	X3002875	X3003948
S00IK-0015	0	0	0	0	3.95725373815568	11.4650092760185	0	5.49477872388709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09895574477742	0	0	0	0	0	0	0	0
S00IK-0008	24.0614824196066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7573152732169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0023	0	0	0	0	0	0	0	0	0	0	0	0.889057248672229	0	0	0	3.33749268747591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.867547799107578	2.86869138904906
S00IK-0025	4.46467316420375	1.87516272896557	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87516272896557	0	0	0	0	0	0	0	0	0	0	0	0	0	21.6364930265258	0	0	0	0	0	3.75032545793115
S00IK-0020	52.2020814163051	0	0	0	0	0	0	0	1.49148804046586	0	0	0	0	0	0	24.4739628458262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0033	0	0	0	16.7600265509659	0	3.50436918792923	1.15644183201665	8.89570640012805	0	0	0	0	30.1680477917386	46.2576732806658	2.40925381670135	6.37795192203121	5.78220916008324	0	0	62.2699448008963	17.5218459396462	0	2.40925381670135	0	53.3742384007683	13.8773019841998	16.5205976002378	3.08384488537773	17.7914128002561	0	0	77.0961221344431	0	14.1342890579812	0.932614380658586	0
S00IK-0014	20.8916811874297	0	3.76050261373734	0	0	0	0	0	0	0	0	0	0	0	0	17.8393251697857	0	0	2.50700174249156	0	0	0	0	0	0	0	0	0	0	0	0.947229877515703	0	1.49226294195926	0	0	0
S00IK-0016	77.5487847874818	0	0	0	0	0	0	0	0.857118147651115	0	0	0	1.86330032098068	0	0	55.4714991661652	0	0	0	0	0	0	0	0	0	0	0	0	0	9.88982478058977	0	0	2.04075749440742	0	0	1.71423629530223
S00IK-0032	17.2352061349612	0	0	5.24549751933603	0.680337084274786	2.18035740261558	1.50808053680911	6.03232214723644	0	0	0	2.85210695410372	7.86824627900405	54.2908993251279	1.88510067101139	14.1668171639644	3.01616107361822	1.25673378067426	0	27.8414868333989	15.7364925580081	1.20646442944729	3.82484194118252	2.7419646123802	55.6829736667978	3.61939328834186	0	2.57744673563739	13.9207434166995	0	0	60.3232214723644	1.43626717791344	10.0538702453941	1.4594327775572	2.41292885889457
S00IK-0036	0	0	0	0	0	0	8.9169589093795	0	0	0	0	1.05276964691612	3.69232252976377	25.4770254553699	0	48.3438506115607	2.12308545461417	0	0	9.79885594437306	0	10.190810182148	0	5.30771363653541	19.5977118887461	3.39693672738266	6.06595844175476	0	0	0	0	10.6154272730708	2.02198614725159	1.69846836369133	1.02729941352298	3.39693672738266
S00IK-0001	15.1862772303808	0	0	0	0	0	0.956735465513992	0	0	3.98639777297497	4.4499323977395	0	0	0	0	12.0026812946301	0	0	2.55129457470398	0	0	0	0	0	0	0	0	0	0	73.5950358087685	0	0	0	0	0	0
S00IK-0035	11.7750334178392	0	0	14.3348232912825	1.50777866935746	0	1.23637850887312	4.12126169624373	0	0	0	0	14.3348232912825	74.1827105323869	2.57578856015233	14.986406168159	4.12126169624373	0	0	95.1060391440859	14.986406168159	4.94551403549247	5.30768551788965	0	95.1060391440859	9.89102807098494	0	1.64850467849749	38.0424156576343	0	0	10.3031542406093	0	20.6063084812186	0	0
S00IK-0009	26.2407147886738	0	0	0	0	0	0	0	0	8.28654151221278	7.49734708247823	0	2.28180128597164	0	0	16.3169535595026	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1110991332341	0.396585110156279	13.1203573943369	0	1.04962859154695	0	0
S00IK-0018	0	0	0	6.88803701779875	11.3814295873136	11.481319096298	0	29.6538824432925	0	0	0	0	0	47.5274554228113	0	1.25734009055057	5.28082838031238	0	0	0	0	0	0	0	48.7461081259603	4.2246627042499	0	8.10127081070648	0	0	0	0	0	0	0.638809884715207	2.11233135212495
S00IK-0002	20.510870402373	0	0	0	0	0	0.769157640088988	0	0	2.69879873715435	0	0	0	0	0	18.8793238930934	0	3.07663056035595	0	0	0	0	0	0	0	0	0	0	0	11.8331944629075	0.387484957223672	0	0	0	0	0
S00IK-0010	34.1487578628369	4.09785094354042	0	0	0	0	0	0	4.09785094354042	0	0	0	0	0	0	13.009050614414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0003	15.1286777248224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2320356957575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0037	19.2161213727121	0	0	30.2653911620215	0	0	3.63184693944258	0	0	0	0	17.02637730931	21.0541851561889	96.8492517184688	10.0884637206738	28.1009571274042	4.03538548826954	0	0	9.31242804985277	14.0361234374593	4.84246258592345	3.51567675114392	10.0884637206738	74.4994243988221	16.1415419530782	11.5296728236272	8.20528382614806	55.8745682991166	0	0	30.2653911620215	9.60806068635604	18.4282603964309	2.92890882213112	3.22830839061563
S00IK-0024	0	0	0	0	0	0	0	0	0	0	0	9.57887334921387	0	0	0	4.71118336306168	0	0	0	0	0	0	0	2.58856228739653	0	0	0	0	0	0	0	0	2.71182715822493	0	4.13334945890736	2.27793481290894
S00IK-0017	0	0	0	0	0	0	23.3487304911012	0	0	0	0	0	0	0	0	8.43671044212404	1.47776775260134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0004	0	0	1.23296983533133	0	0	0	1.849454752997	0	0	11.5590922062312	4.30105756510929	0	0	18.4945475299699	0	24.6593967066266	0	1.28434357847014	0	0	0	0	0	0	0	0	0	0	0	42.6797250691614	0	0	0	0	0	0
S00IK-0038	8.86808389111586	0	0	0	0	3.38259607347327	7.44919046853732	0	0	0	0	0	5.39796410763574	18.6229761713433	0	17.4674379673494	0	3.72459523426866	0	14.3253662856487	5.39796410763574	4.96612697902488	0	0	28.6507325712974	1.24153174475622	0	0	14.3253662856487	0	0.938185197548781	0	0	2.48306348951244	0	0
S00IK-0039	0	0	0	17.7170737511109	0.687557980217466	0	7.85878771388564	0	0	0	0	17.8177065781186	22.7790948228569	104.783836185142	0	34.7162608775015	0	1.21277588177248	0	20.1507377279119	7.93816940796529	6.98558907900946	2.42555176354495	10.5842258772871	94.0367760635888	9.31411877201261	4.15808873750563	2.32852969300315	53.735300607765	0	0	21.8299658719046	1.38602957916854	4.8511035270899	2.11257734244238	20.9567672370284
S00IK-0011	24.7592215225376	2.31086067543685	0	0	0	0	0	0	0	0	0	0	0	17.3314550657763	0	19.1171201331594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
