feature	aminoglycoside.antibiotic	tetracycline.antibiotic	phenicol.antibiotic	lincosamide.antibiotic.macrolide.antibiotic.streptogramin.A.antibiotic.streptogramin.B.antibiotic.streptogramin.antibiotic	glycopeptide.antibiotic	peptide.antibiotic	fluoroquinolone.antibiotic	disinfecting.agents.and.antiseptics	fluoroquinolone.antibiotic.macrolide.antibiotic.penam	phosphonic.acid.antibiotic	N.A	lincosamide.antibiotic.pleuromutilin.antibiotic.streptogramin.A.antibiotic.streptogramin.B.antibiotic.streptogramin.antibiotic	diaminopyrimidine.antibiotic.fluoroquinolone.antibiotic.glycylcycline.nitrofuran.antibiotic.tetracycline.antibiotic	carbapenem.cephalosporin.cephamycin.monobactam.penam.penem	cephalosporin.penam.penem	carbapenem.cephalosporin.cephamycin.disinfecting.agents.and.antiseptics.fluoroquinolone.antibiotic.glycylcycline.monobactam.penam.penem.phenicol.antibiotic.rifamycin.antibiotic.tetracycline.antibiotic	aminocoumarin.antibiotic.carbapenem.peptide.antibiotic.rifamycin.antibiotic	carbapenem.cephalosporin.cephamycin.penam	penam.penem	aminoglycoside.antibiotic.cephalosporin.disinfecting.agents.and.antiseptics.macrolide.antibiotic.peptide.antibiotic.rifamycin.antibiotic.tetracycline.antibiotic	fluoroquinolone.antibiotic.macrolide.antibiotic.rifamycin.antibiotic	aminoglycoside.antibiotic.carbapenem.cephalosporin.fluoroquinolone.antibiotic.macrolide.antibiotic.penam.penem.peptide.antibiotic
S00IK-0005	-0.721687031676202	7.07473288162365	-1.22243401157399	-1.37864878373886	-1.54044671700606	-0.743536337960194	1.39107961448771	0.0319948276597553	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	-0.687878849708071	-0.422498234086647	-0.930121075844865
S00IK-0031	-0.721687031676202	5.29887322852524	-1.22243401157399	0.893568324211353	1.63053391837756	3.95246201326492	4.01386255792906	0.0319948276597553	6.15891289073235	3.72184908512351	-1.6465414582195	-1.16965177401421	6.11259651151442	5.42194729656614	1.3086058234902	-0.436580448038444	5.64433971790259	0.308605823490197	1.43162984996348	3.22917135599579	-0.422498234086647	1.93309668839799
S00IK-0040	-0.721687031676202	4.67135028509168	-1.22243401157399	1.89159152916065	-1.54044671700606	6.9829066959066	3.55245414424107	1.61658448166078	7.13046388432045	4.35980906629867	1.29174479135352	3.69089004038947	7.1493892866283	5.96053888287814	0.432159910523356	-0.436580448038444	6.13046388432046	-0.863866710233053	3.33381385776573	5.03419592460345	3.96465499135038	4.29840852163453
S00IK-0027	-0.721687031676202	6.32806297668374	-1.22243401157399	-1.37864878373886	-1.54044671700606	-0.743536337960194	1.39107961448771	0.0319948276597553	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	0.768759431134057	-0.422498234086647	-0.930121075844865
S00IK-0030	-0.721687031676202	6.54005232645262	-1.22243401157399	-1.37864878373886	-1.54044671700606	0.382864417347226	1.39107961448771	0.0319948276597553	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	-0.687878849708071	-0.422498234086647	-0.930121075844865
S00IK-0022	-0.721687031676202	5.72562082721814	-1.22243401157399	-1.37864878373886	-1.54044671700606	-0.743536337960194	1.39107961448771	1.70073486674891	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	-0.687878849708071	-0.422498234086647	-0.930121075844865
S00IK-0015	-0.721687031676202	-0.66962507133254	-1.22243401157399	-1.37864878373886	5.13480830651855	-0.743536337960194	1.39107961448771	0.0319948276597553	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	0.136133289766947	-0.321569883486992	-0.687878849708071	-0.422498234086647	-0.930121075844865
S00IK-0008	-0.721687031676202	5.16264500698197	-1.22243401157399	-1.37864878373886	-1.54044671700606	-0.743536337960194	1.39107961448771	0.0319948276597553	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	-0.687878849708071	-0.422498234086647	-0.930121075844865
S00IK-0023	-0.721687031676202	1.73876467582527	-1.22243401157399	-1.37864878373886	-1.54044671700606	-0.743536337960194	1.39107961448771	0.0319948276597553	3.29261331864332	1.43241538400964	-0.20498484712649	-0.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	-0.687878849708071	1.5203927727645	-0.930121075844865
S00IK-0025	-0.721687031676202	4.89973111818174	-1.22243401157399	-1.37864878373886	-1.54044671700606	-0.743536337960194	1.39107961448771	0.0319948276597553	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	-0.687878849708071	1.90701579992031	-0.930121075844865
